,Content,Sentiment,Label,caseFold,PuncRev,review_token,stopwords_removal,stemming
985,sangat membantu tapi sayang kenapa harus ada sisa 100 ribu ya,netral,0,sangat membantu tapi sayang kenapa harus ada sisa 100 ribu ya,sangat membantu tapi sayang kenapa harus ada sisa   ribu ya,"['sangat', 'membantu', 'tapi', 'sayang', 'kenapa', 'harus', 'ada', 'sisa', 'ribu', 'ya']","['membantu', 'sayang', 'sisa', 'ribu', 'ya']","['bantu', 'sayang', 'sisa', 'ribu', 'ya']"
986,"Gara-gara error nggak bisa diakses akhirnya saya curhat di CIMB Niaga twitter, tertipu akun CIMB Niaga palsu yang mau urusin aplikasi malah akhirnya akun OVO saya yang dia embat saldo habis, akun OCTO pun mungkin sudah dia ambil alih coz sampai sekarang belum bisa saya akses. Betul-betul merugikan",negatif,-1,"gara-gara error nggak bisa diakses akhirnya saya curhat di cimb niaga twitter, tertipu akun cimb niaga palsu yang mau urusin aplikasi malah akhirnya akun ovo saya yang dia embat saldo habis, akun octo pun mungkin sudah dia ambil alih coz sampai sekarang belum bisa saya akses. betul-betul merugikan",gara gara error nggak bisa diakses akhirnya saya curhat di cimb niaga twitter  tertipu akun cimb niaga palsu yang mau urusin aplikasi malah akhirnya akun ovo saya yang dia embat saldo habis  akun octo pun mungkin sudah dia ambil alih coz sampai sekarang belum bisa saya akses  betul betul merugikan,"['gara', 'gara', 'error', 'nggak', 'bisa', 'diakses', 'akhirnya', 'saya', 'curhat', 'di', 'cimb', 'niaga', 'twitter', 'tertipu', 'akun', 'cimb', 'niaga', 'palsu', 'yang', 'mau', 'urusin', 'aplikasi', 'malah', 'akhirnya', 'akun', 'ovo', 'saya', 'yang', 'dia', 'embat', 'saldo', 'habis', 'akun', 'octo', 'pun', 'mungkin', 'sudah', 'dia', 'ambil', 'alih', 'coz', 'sampai', 'sekarang', 'belum', 'bisa', 'saya', 'akses', 'betul', 'betul', 'merugikan']","['gara', 'gara', 'error', 'nggak', 'diakses', 'curhat', 'cimb', 'niaga', 'twitter', 'tertipu', 'akun', 'cimb', 'niaga', 'palsu', 'urusin', 'aplikasi', 'akun', 'ovo', 'embat', 'saldo', 'habis', 'akun', 'octo', 'ambil', 'alih', 'coz', 'akses', 'merugikan']","['gara', 'gara', 'error', 'nggak', 'akses', 'curhat', 'cimb', 'niaga', 'twitter', 'tipu', 'akun', 'cimb', 'niaga', 'palsu', 'urusin', 'aplikasi', 'akun', 'ovo', 'embat', 'saldo', 'habis', 'akun', 'octo', 'ambil', 'alih', 'coz', 'akses', 'rugi']"
987,"bagus,,cuman knapa sering mental",positif,1,"bagus,,cuman knapa sering mental",bagus cuman knapa sering mental,"['bagus', 'cuman', 'knapa', 'sering', 'mental']","['bagus', 'cuman', 'knapa', 'mental']","['bagus', 'cuman', 'knapa', 'mental']"
988,Ok,netral,0,ok,ok,['ok'],['ok'],['ok']
989,"mantap octo mobile, sangat membantu",positif,1,"mantap octo mobile, sangat membantu",mantap octo mobile  sangat membantu,"['mantap', 'octo', 'mobile', 'sangat', 'membantu']","['mantap', 'octo', 'mobile', 'membantu']","['mantap', 'octo', 'mobile', 'bantu']"
990,Setelah update sering force close.,negatif,-1,setelah update sering force close.,setelah update sering force close ,"['setelah', 'update', 'sering', 'force', 'close']","['update', 'force', 'close']","['update', 'force', 'close']"
991,"Alhamdulillah sangat bermanfaat sekali buat saya sekeluarga, terimakasih ya OCTO barakallah...",positif,1,"alhamdulillah sangat bermanfaat sekali buat saya sekeluarga, terimakasih ya octo barakallah...",alhamdulillah sangat bermanfaat sekali buat saya sekeluarga  terimakasih ya octo barakallah ,"['alhamdulillah', 'sangat', 'bermanfaat', 'sekali', 'buat', 'saya', 'sekeluarga', 'terimakasih', 'ya', 'octo', 'barakallah']","['alhamdulillah', 'bermanfaat', 'sekeluarga', 'terimakasih', 'ya', 'octo', 'barakallah']","['alhamdulillah', 'manfaat', 'keluarga', 'terimakasih', 'ya', 'octo', 'barakallah']"
992,"Sangat sangat berguna, jadi mudah dan cepat",positif,1,"sangat sangat berguna, jadi mudah dan cepat",sangat sangat berguna  jadi mudah dan cepat,"['sangat', 'sangat', 'berguna', 'jadi', 'mudah', 'dan', 'cepat']","['berguna', 'mudah', 'cepat']","['guna', 'mudah', 'cepat']"
993,Alhamdulillah sangat membantu sekali,positif,1,alhamdulillah sangat membantu sekali,alhamdulillah sangat membantu sekali,"['alhamdulillah', 'sangat', 'membantu', 'sekali']","['alhamdulillah', 'membantu']","['alhamdulillah', 'bantu']"
994,"Masalah sudah teratasi... kasih bintang 4 dulu...,nanti kalo performanya di rasa bagus..,baru kasih bintang 5....,terima kasih CIMB NIAGA semga makin berkembang menjaxi lebih baik lagi",positif,1,"masalah sudah teratasi... kasih bintang 4 dulu...,nanti kalo performanya di rasa bagus..,baru kasih bintang 5....,terima kasih cimb niaga semga makin berkembang menjaxi lebih baik lagi",masalah sudah teratasi  kasih bintang   dulu nanti kalo performanya di rasa bagus baru kasih bintang  terima kasih cimb niaga semga makin berkembang menjaxi lebih baik lagi,"['masalah', 'sudah', 'teratasi', 'kasih', 'bintang', 'dulu', 'nanti', 'kalo', 'performanya', 'di', 'rasa', 'bagus', 'baru', 'kasih', 'bintang', 'terima', 'kasih', 'cimb', 'niaga', 'semga', 'makin', 'berkembang', 'menjaxi', 'lebih', 'baik', 'lagi']","['teratasi', 'kasih', 'bintang', 'kalo', 'performanya', 'bagus', 'kasih', 'bintang', 'terima', 'kasih', 'cimb', 'niaga', 'semga', 'berkembang', 'menjaxi']","['atas', 'kasih', 'bintang', 'kalo', 'performa', 'bagus', 'kasih', 'bintang', 'terima', 'kasih', 'cimb', 'niaga', 'semga', 'kembang', 'menjaxi']"
995,Terima Kasih,positif,1,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']"
996,Kenapa di Octo mobile ini gk ada yg buat bayar naik kereta api.,negatif,-1,kenapa di octo mobile ini gk ada yg buat bayar naik kereta api.,kenapa di octo mobile ini gk ada yg buat bayar naik kereta api ,"['kenapa', 'di', 'octo', 'mobile', 'ini', 'gk', 'ada', 'yg', 'buat', 'bayar', 'naik', 'kereta', 'api']","['octo', 'mobile', 'gk', 'yg', 'bayar', 'kereta', 'api']","['octo', 'mobile', 'gk', 'yg', 'bayar', 'kereta', 'api']"
997,Download 3x GK bisa masuk.. bangkai nih dplikasi.. duit ilang GK bisa d ambil,negatif,-1,download 3x gk bisa masuk.. bangkai nih dplikasi.. duit ilang gk bisa d ambil,download  x gk bisa masuk  bangkai nih dplikasi  duit ilang gk bisa d ambil,"['download', 'x', 'gk', 'bisa', 'masuk', 'bangkai', 'nih', 'dplikasi', 'duit', 'ilang', 'gk', 'bisa', 'd', 'ambil']","['download', 'x', 'gk', 'masuk', 'bangkai', 'nih', 'dplikasi', 'duit', 'ilang', 'gk', 'd', 'ambil']","['download', 'x', 'gk', 'masuk', 'bangkai', 'nih', 'dplikasi', 'duit', 'ilang', 'gk', 'd', 'ambil']"
998,Varsi baru udah agak cepat,positif,1,varsi baru udah agak cepat,varsi baru udah agak cepat,"['varsi', 'baru', 'udah', 'agak', 'cepat']","['varsi', 'udah', 'cepat']","['varsi', 'udah', 'cepat']"
999,Keren banget,positif,1,keren banget,keren banget,"['keren', 'banget']","['keren', 'banget']","['keren', 'banget']"
1000,Ok,netral,0,ok,ok,['ok'],['ok'],['ok']
1001,"Bang terribet setelah bang OCBC, nga jelas, nga konsisten, by by, banyak bank yg begus dari ini",negatif,-1,"bang terribet setelah bang ocbc, nga jelas, nga konsisten, by by, banyak bank yg begus dari ini",bang terribet setelah bang ocbc  nga jelas  nga konsisten  by by  banyak bank yg begus dari ini,"['bang', 'terribet', 'setelah', 'bang', 'ocbc', 'nga', 'jelas', 'nga', 'konsisten', 'by', 'by', 'banyak', 'bank', 'yg', 'begus', 'dari', 'ini']","['bang', 'terribet', 'bang', 'ocbc', 'nga', 'nga', 'konsisten', 'by', 'by', 'bank', 'yg', 'begus']","['bang', 'terribet', 'bang', 'ocbc', 'nga', 'nga', 'konsisten', 'by', 'by', 'bank', 'yg', 'begus']"
1002,baik dan cepat .gak ribet2 tks,positif,1,baik dan cepat .gak ribet2 tks,baik dan cepat  gak ribet  tks,"['baik', 'dan', 'cepat', 'gak', 'ribet', 'tks']","['cepat', 'gak', 'ribet', 'tks']","['cepat', 'gak', 'ribet', 'tks']"
1003,saya suka sekali aplikasi octomobile,positif,1,saya suka sekali aplikasi octomobile,saya suka sekali aplikasi octomobile,"['saya', 'suka', 'sekali', 'aplikasi', 'octomobile']","['suka', 'aplikasi', 'octomobile']","['suka', 'aplikasi', 'octomobile']"
1004,"Kenapa di hp saya saya buka tulisannya permintaan anda tidak dapat diproses .padahal wiffi ada internet nya bagus,dan sebelum nya dibuka bisa aja tuh tapi sekarang kok ga bisaaa .tolong dong pihak pemilik",negatif,-1,"kenapa di hp saya saya buka tulisannya permintaan anda tidak dapat diproses .padahal wiffi ada internet nya bagus,dan sebelum nya dibuka bisa aja tuh tapi sekarang kok ga bisaaa .tolong dong pihak pemilik",kenapa di hp saya saya buka tulisannya permintaan anda tidak dapat diproses  padahal wiffi ada internet nya bagus dan sebelum nya dibuka bisa aja tuh tapi sekarang kok ga bisaaa  tolong dong pihak pemilik,"['kenapa', 'di', 'hp', 'saya', 'saya', 'buka', 'tulisannya', 'permintaan', 'anda', 'tidak', 'dapat', 'diproses', 'padahal', 'wiffi', 'ada', 'internet', 'nya', 'bagus', 'dan', 'sebelum', 'nya', 'dibuka', 'bisa', 'aja', 'tuh', 'tapi', 'sekarang', 'kok', 'ga', 'bisaaa', 'tolong', 'dong', 'pihak', 'pemilik']","['hp', 'buka', 'tulisannya', 'permintaan', 'diproses', 'wiffi', 'internet', 'nya', 'bagus', 'nya', 'dibuka', 'aja', 'tuh', 'ga', 'bisaaa', 'tolong', 'pemilik']","['hp', 'buka', 'tulis', 'minta', 'proses', 'wiffi', 'internet', 'nya', 'bagus', 'nya', 'buka', 'aja', 'tuh', 'ga', 'bisaaa', 'tolong', 'milik']"
1005,bgus dan mudah,positif,1,bgus dan mudah,bgus dan mudah,"['bgus', 'dan', 'mudah']","['bgus', 'mudah']","['bgus', 'mudah']"
1006,Good enough,positif,1,good enough,good enough,"['good', 'enough']","['good', 'enough']","['good', 'enough']"
1007,"Udah bagus, tolong tingkatkan keamanan biara nggak gampang ke bobol sama link",positif,1,"udah bagus, tolong tingkatkan keamanan biara nggak gampang ke bobol sama link",udah bagus  tolong tingkatkan keamanan biara nggak gampang ke bobol sama link,"['udah', 'bagus', 'tolong', 'tingkatkan', 'keamanan', 'biara', 'nggak', 'gampang', 'ke', 'bobol', 'sama', 'link']","['udah', 'bagus', 'tolong', 'tingkatkan', 'keamanan', 'biara', 'nggak', 'gampang', 'bobol', 'link']","['udah', 'bagus', 'tolong', 'tingkat', 'aman', 'biara', 'nggak', 'gampang', 'bobol', 'link']"
1008,Semua ulasan buruk cuma ditanggapi mohon maaf...tidak ada realisasinya.. Developer nya tidur ini mah...,negatif,-1,semua ulasan buruk cuma ditanggapi mohon maaf...tidak ada realisasinya.. developer nya tidur ini mah...,semua ulasan buruk cuma ditanggapi mohon maaf tidak ada realisasinya  developer nya tidur ini mah ,"['semua', 'ulasan', 'buruk', 'cuma', 'ditanggapi', 'mohon', 'maaf', 'tidak', 'ada', 'realisasinya', 'developer', 'nya', 'tidur', 'ini', 'mah']","['ulasan', 'buruk', 'ditanggapi', 'mohon', 'maaf', 'realisasinya', 'developer', 'nya', 'tidur', 'mah']","['ulas', 'buruk', 'tanggap', 'mohon', 'maaf', 'realisasi', 'developer', 'nya', 'tidur', 'mah']"
1009,Sumpah aplikasi mobile banking paling sampah yg pernah saya install,negatif,-1,sumpah aplikasi mobile banking paling sampah yg pernah saya install,sumpah aplikasi mobile banking paling sampah yg pernah saya install,"['sumpah', 'aplikasi', 'mobile', 'banking', 'paling', 'sampah', 'yg', 'pernah', 'saya', 'install']","['sumpah', 'aplikasi', 'mobile', 'banking', 'sampah', 'yg', 'install']","['sumpah', 'aplikasi', 'mobile', 'banking', 'sampah', 'yg', 'install']"
1010,Mengapa saya selalu gagal saat mengirim sms verifikasi no hp saat login,negatif,-1,mengapa saya selalu gagal saat mengirim sms verifikasi no hp saat login,mengapa saya selalu gagal saat mengirim sms verifikasi no hp saat login,"['mengapa', 'saya', 'selalu', 'gagal', 'saat', 'mengirim', 'sms', 'verifikasi', 'no', 'hp', 'saat', 'login']","['gagal', 'mengirim', 'sms', 'verifikasi', 'no', 'hp', 'login']","['gagal', 'kirim', 'sms', 'verifikasi', 'no', 'hp', 'login']"
1011,Kenapa sekarang aplikasi octo sering keluar sendiri.,negatif,-1,kenapa sekarang aplikasi octo sering keluar sendiri.,kenapa sekarang aplikasi octo sering keluar sendiri ,"['kenapa', 'sekarang', 'aplikasi', 'octo', 'sering', 'keluar', 'sendiri']","['aplikasi', 'octo']","['aplikasi', 'octo']"
1012,Poor UX,negatif,-1,poor ux,poor ux,"['poor', 'ux']","['poor', 'ux']","['poor', 'ux']"
1013,Ok,netral,0,ok,ok,['ok'],['ok'],['ok']
1014,Mantab...thank u octo mobile CIMB Niaga,positif,1,mantab...thank u octo mobile cimb niaga,mantab thank u octo mobile cimb niaga,"['mantab', 'thank', 'u', 'octo', 'mobile', 'cimb', 'niaga']","['mantab', 'thank', 'u', 'octo', 'mobile', 'cimb', 'niaga']","['mantab', 'thank', 'u', 'octo', 'mobile', 'cimb', 'niaga']"
1015,"Aplikasi lu lemah bro. Gw ga masuk masuk ke octo mobile nya, mental terus aneh",negatif,-1,"aplikasi lu lemah bro. gw ga masuk masuk ke octo mobile nya, mental terus aneh",aplikasi lu lemah bro  gw ga masuk masuk ke octo mobile nya  mental terus aneh,"['aplikasi', 'lu', 'lemah', 'bro', 'gw', 'ga', 'masuk', 'masuk', 'ke', 'octo', 'mobile', 'nya', 'mental', 'terus', 'aneh']","['aplikasi', 'lu', 'lemah', 'bro', 'gw', 'ga', 'masuk', 'masuk', 'octo', 'mobile', 'nya', 'mental', 'aneh']","['aplikasi', 'lu', 'lemah', 'bro', 'gw', 'ga', 'masuk', 'masuk', 'octo', 'mobile', 'nya', 'mental', 'aneh']"
1016,kereeen,positif,1,kereeen,kereeen,['kereeen'],['kereeen'],['kereeen']
1017,Lupa nomor rekening,netral,0,lupa nomor rekening,lupa nomor rekening,"['lupa', 'nomor', 'rekening']","['lupa', 'nomor', 'rekening']","['lupa', 'nomor', 'rekening']"
1018,"TIM IT KERJANYA CUMA MAKAN TIDUR KALI YA, GANTI DEVICE BARU MALAH GAK BISA LOGIN. USER ID SAMA HP NORMAL GAK DIOPREK,NOMER SAMA, OS TERBARU, SINYAL LANCAR BUAT MBANKING BCA, LIVIN,BRIMO BISA. KETERANGAN PERANGKAT TIDAK BISA DIGUNAKAN,PAYAH PAYAH TIM IT KALIAN REKRUT BOCIL SMK AJA SARAN SAYA",negatif,-1,"tim it kerjanya cuma makan tidur kali ya, ganti device baru malah gak bisa login. user id sama hp normal gak dioprek,nomer sama, os terbaru, sinyal lancar buat mbanking bca, livin,brimo bisa. keterangan perangkat tidak bisa digunakan,payah payah tim it kalian rekrut bocil smk aja saran saya",tim it kerjanya cuma makan tidur kali ya  ganti device baru malah gak bisa login  user id sama hp normal gak dioprek nomer sama  os terbaru  sinyal lancar buat mbanking bca  livin brimo bisa  keterangan perangkat tidak bisa digunakan payah payah tim it kalian rekrut bocil smk aja saran saya,"['tim', 'it', 'kerjanya', 'cuma', 'makan', 'tidur', 'kali', 'ya', 'ganti', 'device', 'baru', 'malah', 'gak', 'bisa', 'login', 'user', 'id', 'sama', 'hp', 'normal', 'gak', 'dioprek', 'nomer', 'sama', 'os', 'terbaru', 'sinyal', 'lancar', 'buat', 'mbanking', 'bca', 'livin', 'brimo', 'bisa', 'keterangan', 'perangkat', 'tidak', 'bisa', 'digunakan', 'payah', 'payah', 'tim', 'it', 'kalian', 'rekrut', 'bocil', 'smk', 'aja', 'saran', 'saya']","['tim', 'it', 'kerjanya', 'makan', 'tidur', 'kali', 'ya', 'ganti', 'device', 'gak', 'login', 'user', 'id', 'hp', 'normal', 'gak', 'dioprek', 'nomer', 'os', 'terbaru', 'sinyal', 'lancar', 'mbanking', 'bca', 'livin', 'brimo', 'keterangan', 'perangkat', 'payah', 'payah', 'tim', 'it', 'rekrut', 'bocil', 'smk', 'aja', 'saran']","['tim', 'it', 'kerja', 'makan', 'tidur', 'kali', 'ya', 'ganti', 'device', 'gak', 'login', 'user', 'id', 'hp', 'normal', 'gak', 'dioprek', 'nomer', 'os', 'baru', 'sinyal', 'lancar', 'mbanking', 'bca', 'livin', 'brimo', 'terang', 'perangkat', 'payah', 'payah', 'tim', 'it', 'rekrut', 'bocil', 'smk', 'aja', 'saran']"
1019,Sangat Mudah,positif,1,sangat mudah,sangat mudah,"['sangat', 'mudah']",['mudah'],['mudah']
1020,Sangat bagus,positif,1,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],['bagus']
1021,Mau apapun jadi mudah,positif,1,mau apapun jadi mudah,mau apapun jadi mudah,"['mau', 'apapun', 'jadi', 'mudah']","['apapun', 'mudah']","['apa', 'mudah']"
1022,Ga Pake Lelet,positif,1,ga pake lelet,ga pake lelet,"['ga', 'pake', 'lelet']","['ga', 'pake', 'lelet']","['ga', 'pake', 'lelet']"
1023,ATM saya tiba-tiba d.blok aneh berapa x d.blok Mulu sudah males pake ATM CIMB lagi parah pelanyanan nya kurang bikin emosi orang awam Mulu ga jelas.,negatif,-1,atm saya tiba-tiba d.blok aneh berapa x d.blok mulu sudah males pake atm cimb lagi parah pelanyanan nya kurang bikin emosi orang awam mulu ga jelas.,atm saya tiba tiba d blok aneh berapa x d blok mulu sudah males pake atm cimb lagi parah pelanyanan nya kurang bikin emosi orang awam mulu ga jelas ,"['atm', 'saya', 'tiba', 'tiba', 'd', 'blok', 'aneh', 'berapa', 'x', 'd', 'blok', 'mulu', 'sudah', 'males', 'pake', 'atm', 'cimb', 'lagi', 'parah', 'pelanyanan', 'nya', 'kurang', 'bikin', 'emosi', 'orang', 'awam', 'mulu', 'ga', 'jelas']","['atm', 'd', 'blok', 'aneh', 'x', 'd', 'blok', 'mulu', 'males', 'pake', 'atm', 'cimb', 'parah', 'pelanyanan', 'nya', 'bikin', 'emosi', 'orang', 'awam', 'mulu', 'ga']","['atm', 'd', 'blok', 'aneh', 'x', 'd', 'blok', 'mulu', 'males', 'pake', 'atm', 'cimb', 'parah', 'pelanyanan', 'nya', 'bikin', 'emosi', 'orang', 'awam', 'mulu', 'ga']"
1024,Aplikasi mudah dipahami dan lancar Top best lah octo,positif,1,aplikasi mudah dipahami dan lancar top best lah octo,aplikasi mudah dipahami dan lancar top best lah octo,"['aplikasi', 'mudah', 'dipahami', 'dan', 'lancar', 'top', 'best', 'lah', 'octo']","['aplikasi', 'mudah', 'dipahami', 'lancar', 'top', 'best', 'octo']","['aplikasi', 'mudah', 'paham', 'lancar', 'top', 'best', 'octo']"
1025,"Perbankan ga jls tiap hr ga ada kerjaan sehari 3x tlpppppp.... trs nawarin KTA smpe 300jt mending admin nya kaga gede, abis itu beda org nawarin Emas, trs MOTOR kaya kredit, org klo butuh jg akan cari lu ga usah ribet2 ganggu hp org berdering trs. Tuh tawarin bpk2 yg emang butuh motor baru gitu.. Giliran ada yg butuh ga ada tuh laki gw yg nawarin.. Heran gw sm bank 1 ini",negatif,-1,"perbankan ga jls tiap hr ga ada kerjaan sehari 3x tlpppppp.... trs nawarin kta smpe 300jt mending admin nya kaga gede, abis itu beda org nawarin emas, trs motor kaya kredit, org klo butuh jg akan cari lu ga usah ribet2 ganggu hp org berdering trs. tuh tawarin bpk2 yg emang butuh motor baru gitu.. giliran ada yg butuh ga ada tuh laki gw yg nawarin.. heran gw sm bank 1 ini",perbankan ga jls tiap hr ga ada kerjaan sehari  x tlpppppp  trs nawarin kta smpe  jt mending admin nya kaga gede  abis itu beda org nawarin emas  trs motor kaya kredit  org klo butuh jg akan cari lu ga usah ribet  ganggu hp org berdering trs  tuh tawarin bpk  yg emang butuh motor baru gitu  giliran ada yg butuh ga ada tuh laki gw yg nawarin  heran gw sm bank   ini,"['perbankan', 'ga', 'jls', 'tiap', 'hr', 'ga', 'ada', 'kerjaan', 'sehari', 'x', 'tlpppppp', 'trs', 'nawarin', 'kta', 'smpe', 'jt', 'mending', 'admin', 'nya', 'kaga', 'gede', 'abis', 'itu', 'beda', 'org', 'nawarin', 'emas', 'trs', 'motor', 'kaya', 'kredit', 'org', 'klo', 'butuh', 'jg', 'akan', 'cari', 'lu', 'ga', 'usah', 'ribet', 'ganggu', 'hp', 'org', 'berdering', 'trs', 'tuh', 'tawarin', 'bpk', 'yg', 'emang', 'butuh', 'motor', 'baru', 'gitu', 'giliran', 'ada', 'yg', 'butuh', 'ga', 'ada', 'tuh', 'laki', 'gw', 'yg', 'nawarin', 'heran', 'gw', 'sm', 'bank', 'ini']","['perbankan', 'ga', 'jls', 'hr', 'ga', 'kerjaan', 'sehari', 'x', 'tlpppppp', 'trs', 'nawarin', 'kta', 'smpe', 'jt', 'mending', 'admin', 'nya', 'kaga', 'gede', 'abis', 'beda', 'org', 'nawarin', 'emas', 'trs', 'motor', 'kaya', 'kredit', 'org', 'klo', 'butuh', 'jg', 'cari', 'lu', 'ga', 'ribet', 'ganggu', 'hp', 'org', 'berdering', 'trs', 'tuh', 'tawarin', 'bpk', 'yg', 'emang', 'butuh', 'motor', 'gitu', 'giliran', 'yg', 'butuh', 'ga', 'tuh', 'laki', 'gw', 'yg', 'nawarin', 'heran', 'gw', 'sm', 'bank']","['perban', 'ga', 'jls', 'hr', 'ga', 'kerja', 'hari', 'x', 'tlpppppp', 'trs', 'nawarin', 'kta', 'smpe', 'jt', 'mending', 'admin', 'nya', 'kaga', 'gede', 'abis', 'beda', 'org', 'nawarin', 'emas', 'trs', 'motor', 'kaya', 'kredit', 'org', 'klo', 'butuh', 'jg', 'cari', 'lu', 'ga', 'ribet', 'ganggu', 'hp', 'org', 'dering', 'trs', 'tuh', 'tawarin', 'bpk', 'yg', 'emang', 'butuh', 'motor', 'gitu', 'gilir', 'yg', 'butuh', 'ga', 'tuh', 'laki', 'gw', 'yg', 'nawarin', 'heran', 'gw', 'sm', 'bank']"
1026,mantapz,positif,1,mantapz,mantapz,['mantapz'],['mantapz'],['mantapz']
1027,"Ko login aja susah,min....",negatif,-1,"ko login aja susah,min....",ko login aja susah min ,"['ko', 'login', 'aja', 'susah', 'min']","['ko', 'login', 'aja', 'susah', 'min']","['ko', 'login', 'aja', 'susah', 'min']"
1028,Done update,positif,1,done update,done update,"['done', 'update']","['done', 'update']","['done', 'update']"
1029,"Kok aplikasi sekelas m-banking berat bgt ya. Padahal hp yg saya gunakan sangat mumpuni untuk bermain game berat. Tapi pas buka octo malah sering force close trus bener bener lemot bgt. Tolong segera diperbaiki, ini sangat mempersulit nasabah untuk mengaksesnya. Terimakasih!",negatif,-1,"kok aplikasi sekelas m-banking berat bgt ya. padahal hp yg saya gunakan sangat mumpuni untuk bermain game berat. tapi pas buka octo malah sering force close trus bener bener lemot bgt. tolong segera diperbaiki, ini sangat mempersulit nasabah untuk mengaksesnya. terimakasih!",kok aplikasi sekelas m banking berat bgt ya  padahal hp yg saya gunakan sangat mumpuni untuk bermain game berat  tapi pas buka octo malah sering force close trus bener bener lemot bgt  tolong segera diperbaiki  ini sangat mempersulit nasabah untuk mengaksesnya  terimakasih ,"['kok', 'aplikasi', 'sekelas', 'm', 'banking', 'berat', 'bgt', 'ya', 'padahal', 'hp', 'yg', 'saya', 'gunakan', 'sangat', 'mumpuni', 'untuk', 'bermain', 'game', 'berat', 'tapi', 'pas', 'buka', 'octo', 'malah', 'sering', 'force', 'close', 'trus', 'bener', 'bener', 'lemot', 'bgt', 'tolong', 'segera', 'diperbaiki', 'ini', 'sangat', 'mempersulit', 'nasabah', 'untuk', 'mengaksesnya', 'terimakasih']","['aplikasi', 'sekelas', 'm', 'banking', 'berat', 'bgt', 'ya', 'hp', 'yg', 'mumpuni', 'bermain', 'game', 'berat', 'pas', 'buka', 'octo', 'force', 'close', 'trus', 'bener', 'bener', 'lemot', 'bgt', 'tolong', 'diperbaiki', 'mempersulit', 'nasabah', 'mengaksesnya', 'terimakasih']","['aplikasi', 'kelas', 'm', 'banking', 'berat', 'bgt', 'ya', 'hp', 'yg', 'mumpuni', 'main', 'game', 'berat', 'pas', 'buka', 'octo', 'force', 'close', 'trus', 'bener', 'bener', 'lot', 'bgt', 'tolong', 'baik', 'sulit', 'nasabah', 'akses', 'terimakasih']"
1030,Bagus sekali,positif,1,bagus sekali,bagus sekali,"['bagus', 'sekali']",['bagus'],['bagus']
1031,Terima kasih keren habis aplikasi bagus banget,positif,1,terima kasih keren habis aplikasi bagus banget,terima kasih keren habis aplikasi bagus banget,"['terima', 'kasih', 'keren', 'habis', 'aplikasi', 'bagus', 'banget']","['terima', 'kasih', 'keren', 'habis', 'aplikasi', 'bagus', 'banget']","['terima', 'kasih', 'keren', 'habis', 'aplikasi', 'bagus', 'banget']"
1032,Jelek bodoh bego,negatif,-1,jelek bodoh bego,jelek bodoh bego,"['jelek', 'bodoh', 'bego']","['jelek', 'bodoh', 'bego']","['jelek', 'bodoh', 'bego']"
