"Content","Sentiment","Label"
"Sebuah sarana yg memudahkan pada setiap pengguna atau nasabah .OCTO Mobil","positif","1"
"Aplikasi yg sangat membantu untuk transaksi2 penting","positif","1"
"Ok sip","positif","1"
"Mantap transaksi lebih mudah","positif","1"
"Mantabs","positif","1"
"APLIKASI NYA BODOH, MASA LOGIN SELALU DIMINTA PASSCODE , TAPI PASSCODE NYA SAJA TIDAK DI KIRIM2 KE NOMOR SAYA ? TERTIPU SAYA MANA ADA DANA TRANSFERAN JADI GAK BISA DI PAKE DONK UANGNYA,.,?! ðŸ¤•ðŸ˜¤ðŸ˜ ","negatif","-1"
"tidak bisa diakses untuk device unlock bootloader, kebanyakan xioami & samsung itu unlock bootloader bawaan pabrik. banyak jg di grup komunitas bank mengeluhkan akan hal itu.","negatif","-1"
"Koq mau login harus ada pulsa aneh bgt gk kyk rekening lain gk ribet pascode bayar","negatif","-1"
"Mantap","positif","1"
"Ok","netral","0"
"Mudah dan cepat","positif","1"
"nice","positif","1"
"aplikasi bagut banget","positif","1"
"Sangat puas dengan fitur-fitur yang disediakan","positif","1"
"Bgm kalau pembayaran cash d an point spj kamitahu.","positif","1"
"Keblokir cs masa gada layanan bebas pulsa tekor nelpon mana ga langsung ke cs malah tekan angka menu 1 2 3 suruh nunggu, tolong layanan bebas pulsanya bikin tekor pulsa habis doang!!! Mana tiap login pertama motong pulsa tsel 2800 rupiah, gada apa-apa logout sendiri login ulang motong trs rampok pulsa kesel aplikasinya bikin tekor pulsa tolong buat masukan kedepannya direspon woi!!!","negatif","-1"
"Aplikasi sampah, baru di download malah ada keterangan ""Mohon maaf, saat ini perangkat anda belum dapat digunakan untuk mengakses OCTO Mobile""","negatif","-1"
"Sangat berguna ni dan mudah di pergunakan ,semoga bisa lebih bagus lagi ,sangat cepat prosesnya ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘","positif","1"
"Terkadang masih logout sendiri","negatif","-1"
"Aplikasi masih kurang baik . Kadang Kembali sendiri.. Dan semoga Cepat Dapat Kartu kredit buat nambah Modal","netral","0"
"Mantap","positif","1"
"Mantap","positif","1"
"Mantap","positif","1"
"mantapppp banyakl cashback","positif","1"
"Sudah lebih baik aplikasi nya....sejauh ini sudah sangat terbantu untuk transaksi...","positif","1"
"Keren, ga ribett","positif","1"
"Aplikasi selalu lemot, padahal pakai wifi.. dan paling mengecewakan, sejak pakai atm ini dan bikin m bangking dangn nomor terdaftar setiap hari di telpon scam dari pegawai cimb yg jual data pribadi... Gila... Penipu semua isi bank ini","negatif","-1"
"versi good","positif","1"
"Good","positif","1"
"Balik lagi ke jaman dulu? Tiap login harus passcode via sms?","negatif","-1"
"Pokoknya good,bisa bayar apa saja","positif","1"
"Mudah dan cepat","positif","1"
"Mau buka rekening pertama data udah lengkap sesuai dengan yg diminta dan sudah benar tapi kenapa tidak dapat diproses. Berulang kali coba sama saja tidak dapat diproses.","negatif","-1"
"transaksi sangat cepat dan aman dan sangat mudah","positif","1"
"Ok","netral","0"
"Bagus, inputan pin parsial, tdk bisa diintip","negatif","-1"
"Oke","netral","0"
"Sejauh ini ga ada kendala, jadi syuka bgt sih","positif","1"
"Transaksi lebih mudah dengan Octo mobile,,..","positif","1"
"Sagat puas","positif","1"
"Kenapa Setiap login auto out???","negatif","-1"
"User id sudah benar..ga bisa masuk Nunggu pascode SMS ga dikirim2 kodenya..masa iya kudu ditelpon Tolong diperbaiki..baik apk nya serta layanan offline nya..makasih","negatif","-1"
"Ojol/gojek yg punya rekpon/rek cimb niaga sebaiknya punya apps ini.. Unggul daripada app g**"""".","positif","1"
"Pelayanan bagus","positif","1"
"Sangat membantu proses transfer.","positif","1"
"mantap","positif","1"
"Aplikasi bagus sangat membantu dan mudah operasionalnya. Selama ini gak ada kendala kecuali pas ada perbaikan sistem itu pun selalu ada pemberitahuan..good job","positif","1"
"Sangat baik","positif","1"
"Gimana sih cara login kok gak bisa bisa padahal user id udah bener Parah sih ini","negatif","-1"
"Praktis mudah good","positif","1"
"Gak bisa login, padahal user id udah bener tapi passcode nya tidak dikirim","negatif","-1"
"nasbah di blokir . maksud nya apa???","negatif","-1"
"OCTO MOBILE MANTAP Transaksi apapun bisa lebih mudah menggunakan OCTO MOBILE dan bisa melakukan transaksi tanpa kartu lewat OCTO MOBILE","positif","1"
"Mantap","positif","1"
"Aplikasi jelek, aplikasi biasanya buat fleksibel ini malah ribet, malah gabisa masuk dan keblokir","negatif","-1"
"Mantap...,transaksi semudah membalikkan telapak tangan, gratis pula lagi","positif","1"
"Sangat menbantu sudah tidak berat lagi saat di gunakan aplikasinya","positif","1"
"Barusan ganti hp mau minta kode SMS ID kok GK masuk2 y","positif","1"
"Mobile banking paling ngeselin....nunggu pascode aja susah... sampai berkali-kali.... akhir nya jeda 10mnt....gagal juga....ampun dah...","negatif","-1"
"Aplikasi yg sangat membantu,,,transfer ke bank lain gratis biaya admin....","positif","1"
"Device unlock bootloader tidak di izinkan memakai OCTO Mobile","negatif","-1"
"Mempermudah transaksi di mana pun , jadi pake octo mobile saja guyyss","positif","1"
"Aplikasi menjengkelkan mau daftar tapi selalu katanya nomor terblokir","negatif","-1"
"Cool","positif","1"
"TERBAEK TERIMAKASIH CIMB NIAGA","positif","1"
"Trimakasih","positif","1"
"Passcode tidak dikirim gimana mau aktivasi? Gimana mau laku juga nih aplikasi..","negatif","-1"
"Pascode kaga masuk"" Selama se abad gmna sihh nih aplikasi, pulsa dah habis banyak malah kaga masuk"" Pascode nya","negatif","-1"
"Tiap login harus pake passcod.. Passcod tidak pernah masuk. Ngabisin pulsa doang","negatif","-1"
"Saldo mengendap cukup besar untuk sekedar dapat free admin, transfer,top up ewallet, tarik tunai. Jumlah saldo minimum yang besar tidak diimbangi dengan bunga yang menarik seperti bank digital lain, tabungan berjangka juga paling aneh masa kena biaya admin 5rb,bank lain namanya tabungan berjangka autodebet ga kena admin. coba 2juta bisa diakumulasi sama investasi reksadana dll mungkin lebih cocok dengan millenial.","negatif","-1"
"Mudah digunakan","positif","1"
"Sangat membantu, Mantap","positif","1"
"Setiap transaksi transfer setelah di klik nomor rekening tujuan, selalu nyangkut dgn nomor rekening transfer sebelumnya. Sudah berapa kali transaksi jadi double transfer krn masalah ini. Tolong segera diperbaiki","negatif","-1"
"Saya sudah bertahun-tahun. Memakai rek CIMB niaga , , dan selama ini sudah banyak membantu , terimakasih banyak","positif","1"
"Cepat isi pulsa","positif","1"
"Semua jadi mudah","positif","1"
"Saat login ke device baru atau device lain,sudah memasukan user id namun kode otp ga dikirim","negatif","-1"
"Sangat baik","positif","1"
"mantafff","positif","1"
"User friendy aplikasinya","positif","1"
"Hanya kurang lengkap untuk pembayaran,online shop dan yg lain nya","positif","1"
"Banyak extra points","positif","1"
"X-tra poin gajelas transaksi nya ga ada yg dapet poin","negatif","-1"
"oke","netral","0"
"Sangat baik","positif","1"
"Sangat mudah dalam transaksi dengan Octo mobile","positif","1"
"Sangat bagus dan membantu dlam transaksi dan pembayaran","positif","1"
"Transaksi mudah, cepat","positif","1"
"mau log in aja dipersulit, disuruh masukin passcode tapi passcode nya kagak dikirim kirim","negatif","-1"
"Good. Mudah. Cepat Dan sangat membantu","positif","1"
"aplikasinya ga jelass bgt","negatif","-1"
"Mantap","positif","1"
"aplikasi terburuk yang pernah ada jangan di download atau kalian akan menyesal","negatif","-1"
"Kenapa kode tidak masuk,padahal sudah minta ulang2,ribet sekali ini bikin mbanking cmb niaga,ga kaya aplikasi di sebelah, Kalau kaya begini,jadi unistal aja,bikin memori penuh saja","negatif","-1"
"Belanja jadi mudah","positif","1"
"Sangat membantu, karena sangat sederhana dan cepat / tepat /akurat dan aman .. Muantap ! Tanpa biaya lagi ..","positif","1"
"Lumayan bagus & akurat","positif","1"
"gimana cara login? user id udh bener terus pascode belum jg dikirim?","positif","1"
"Min jika daftar di aplikasi, itu udah termasuk bikin debit nyah kah?","netral","0"
"Kurang baik, selalu bayar full tapi muncul terus interest, udh lapor tpi tiap bulan tetap ada terus,interest cuma sekitar 20an rb,sedangkan klo saya lapor call center habis pulsa lebih dari itu, terpaksa di bayar lah interest nya. Nah setahun lumayan juga 100rb lbh..fix setelah selesai pakai nnti,aku tutup","negatif","-1"
"Aplikasi yang sangat bagus kalian harus download","positif","1"
"Min , tadi saya daftar . Bisa ganti alamat pengiriman debit nya ga ya . Tadi salah alamat","negatif","-1"
"Kaga bisa masuk minta pascode ga nyampe2","negatif","-1"
"Makin ok dan mudah","positif","1"
"Ok","netral","0"
"Good, tp hanya biaya transfer ke bank lain gede bgt","positif","1"
"Aplikasi ngebug. Sistem syariah tidak transparan. banyak biaya tambahan.","negatif","-1"
"Sangat mudah penggunaannya","positif","1"
"Parah liat ratingnya bintang 1 smua,, harusnya ini jadi evaluasi. Mau daftar, ket sudah terdaftar tp g ada user id nya. Dah dpt user id malah kblokir. Dah nelpon cs g ngebantu sama skali trs ke bank, d bank malah nelpon CS lagi. Nunggu lagi beda hari, dah beda hari k blokir, nelpon cs g ngebantu sama skali, kblokir lagi. Ahhh ngabisin pulsa doang,, g belajar dr bank lain. Yg mudah, g ribet trs cpet responnya. Tolong jadikan evaluasi, biasa nya bank swasta kan hrs nya lebih canggih lah.","negatif","-1"
"mantap...mempermudah transaksi","positif","1"
"Bagus dan prosesnya cepat.Sayangnya masih kena biaya admind dan belum gratis transfer antar bank dan top up.","netral","0"
"Sangant membantu usaha saya","positif","1"
"Paylaternya belum ada ya CIMB ðŸ˜‡","netral","0"
"mantap","positif","1"
"Mantap","positif","1"
"Bapak/ibu. Kenapa saya tidak mendownload apk cro mobile","negatif","-1"
"Mantap luar biasa","positif","1"
"ðŸ‘","positif","1"
"Bagus","positif","1"
"Aplikasi Sangat tidak membantu malah bikin ribet!! rada geje pokonamah","negatif","-1"
"mantap","positif","1"
"User id benar tapi pascode tidak masuk 3 kali salah langsung ke bloker","negatif","-1"
"I love you OCTO!!!! THANKS","positif","1"
"Uda pernah daftar... Skrg mo login malah ribet... Aplikasi yg mempersulit","negatif","-1"
"Sudah 5 tahun lebih masih tetap setia pakai OCTO Mobile,.semoga di tingkatkan & di kembangkan lagi aplikasinya.","positif","1"
"Luar biasa cepat dan simple","positif","1"
"Ok banget","positif","1"
"Saya suka main","positif","1"
"Terbaik","positif","1"
"Mantap","positif","1"
"sudah lama jadi nasabah cimb dan sangat terbantu oleh layanan yang diberikan","positif","1"
"Bagus cepat dan oke","positif","1"
"Mantab ! Saya suka ðŸ‘ðŸ‘","positif","1"
"Mantabbb","positif","1"
"Mantap..sangat membantu","positif","1"
"Goood","positif","1"
"Mantap","positif","1"
"Fast resp","positif","1"
"Auto log out please fix the bug","negatif","-1"
"sangat membantu","positif","1"
"Proses transaksi keuangan jadi mudah, trimakasiiih...","positif","1"
"Mantap,sangat praktis aplikasinya octo mobile","positif","1"
"Mantap . Semoga aman terus","positif","1"
"Layanan sangat cepat, mudah & efisien dlm penggunaan","positif","1"
"pindah hp lain aja ribet banget","negatif","-1"
"Cimb blom kerjasama ama PT. kAi yak. ? Ribet pisan mau bayar tiket di menu gak ada. Ujung ujungnya mesti ke alpa lagi alpa lagi. Mbanking bukan mempermudah malah ribet","negatif","-1"
"Sangat bagus","positif","1"
"Aplikasi jelek, mau transfer dari Bank lain ga bisa2, hapus ajalah","negatif","-1"
"Sangat membantu ketika mau isi saldo e wallet yg jauh atm","positif","1"
"Aplikasi yg menjengkelkan. Mau transaksi transfer selalu ke log out trus. Tolong dong developernya untuk diperbaiki masalah ini.","negatif","-1"
"mantap octo","positif","1"
"@ðŸ™saya Sama Sekali Tidak Tau Tentang Semua Ini ðŸ™Terima Kasih Salam Hur Mat ðŸ‘ƒ","positif","1"
"cimb niaga syariah keren","positif","1"
"Keren","positif","1"
"Very good","positif","1"
"Ok bagus","positif","1"
"Simpel","positif","1"
"Aku suka occto mobile keren trim","positif","1"
"Sangat membantu","positif","1"
"Kok saldo gw terpotong 17,5k?........... katanya gratis biaya bulanan!!!!","negatif","-1"
"Makin keren cuma setelah pembaruan aplikasi bikin agak bingung....tapi tetep oke banget","positif","1"
"Mantaplah","positif","1"
"Aplikasi baru malah hp dak bisa suport ya sudahlah..","negatif","-1"
"Lemot coy","negatif","-1"
"Sangan membatu untuk pembayaran","positif","1"
"andi saja bisa tlp cs..bebas pulsa..kaya halo bca...lebih joss...semoga bisa tlp cs bebas pulsa...","netral","0"
"Mantap","positif","1"
"Keren","positif","1"
"CIMB niaga gw banget deh","positif","1"
"Ok","positif","1"
"Kenapa aplikasi yang sekarang sulit untuk login ya, suka force close sendiri Padahal hp saya sudah android 13","negatif","-1"
"Sudah beberapa mingu ini aplikasinya gangguan. Masak tulisan nya selalu aplikasi tidak menanggapi. Kapok......","negatif","-1"
"Proses cepat mantapðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘","positif","1"
"aplikasi suka crash sendiri, padahal hp nya udh memadai spesifikasi nya, kyk nya octo mobile cmn bisa di buka dengan spesifikasi hp Internal 500GB, RAM nya 100GB. Mungkin baru bisa buka octo mobile","negatif","-1"
"Good ðŸ‘â˜ºï¸","positif","1"
"Bgus bgt","positif","1"
"Sangat mambantu, tdk ribet","positif","1"
"ok","netral","0"
"Ok","netral","0"
"Cukup lamcar","positif","1"
"Ok","netral","0"
"M bangking nya kayak pepek","negatif","-1"
"Ok","netral","0"
"Fungsi sekali dan banyak manfaatnya sangatn praktis ðŸ‘","positif","1"
"mantap apalagi kalau langsung bisa pinjam dana talang boa ku","positif","1"
"Busuk apk masa bisa dowland giliran login perangkat tidak mendukung sialan","negatif","-1"
"sekarang aplikasi sering keluar sendiri","negatif","-1"
"Sudah banyak fitur","positif","1"
"Daftar list transfer kacau, berantakan tidak short by abjad","negatif","-1"
"Ok","netral","0"
"Bagus","positif","1"
"Mudah untuk tranksaksi bebas biaya admin terimakasih cimb","positif","1"
"Jossss","positif","1"
"Mantap","positif","1"
"Nyesel download aplikasi ini bikin keblokir aja, udh call centernya ga jelas ribett bngt. Yg bener dong kl bikin aplikasi.","negatif","-1"
"Memudahkan","positif","1"
"Oke. Terima kasih","positif","1"
"Kenapa akhir2 ini ga mau masuk ke aplikasi ya ..ada apa dengan octo mobile???? Eror kah?","negatif","-1"
"Masa buka pakai wifi gak bisa payah","negatif","-1"
"Sukak fitur fitur nya gemeshhh","positif","1"
"Sangat mudah dan lengkap","positif","1"
"Baik","positif","1"
"Aplikasi nya keren","positif","1"
"Susah login..aplikasi sering keluar dengan sendirinya..","negatif","-1"
"Minimal kalau nasabah tdk mau ikut kartu kredit gak usa di telvn stiap hari Melebihi home credit nagih utang ðŸ˜’ðŸ˜’","negatif","-1"
"Minta kode buat login malah tidak di kirim kirim , ujung ujungnya malah akun saya di BLOKIR ..... Sangat amat TIDAK BERGUNA .","negatif","-1"
"Dulu sangat bagus APL ini tapi sekarang sangat susah untuk di buka selalu ngelag ðŸ‘Ž","negatif","-1"
"Aman dan terlindungi nasabahnya.","positif","1"
"Membantu","positif","1"
"error ga bisa login","negatif","-1"
"Mantap","positif","1"
"Aplikasi susah dibuka..selalu terpental keluar..cape pake aplikasi ini ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž","negatif","-1"
"Aplikasi tidak dapat diproses, buruk dan tidak rekomendasi,pemakaian terpaksa","negatif","-1"
"Saya tidak tahu bug macam apa ini , tapi saya pengguna baru dan melakukan promo pengguna baru bulan lalu tp tidak dapat cashback yg seharusnya dapat, saldo saya di akhir bulan lebh dati 2 jt tapi masih kena biaya admin 17500 , tolong kalo mau make apps ini MENDING jangan","negatif","-1"
"ðŸ‘","positif","1"
"Ok bos","positif","1"
"Mantap","positif","1"
"Selalu error dan aplikasi keluar sendiri di android Os 9","negatif","-1"
"Bagussss","positif","1"
"Lancar jaya...ðŸ‘","positif","1"
"Bagus a0likasinya dan lengkap....kerenz","positif","1"
"Mantap cuma bi fest nya gabisa","netral","0"
"Sangat bagus dan cepat proses transaksi nya","positif","1"
"Mntb ngebantu... bngt...","positif","1"
"Aplikasi mbangking terrrr ribet menurut gua Klo bukan karna kerjaan males gua bikin rekening cimb","netral","0"
"mudah dan cepat","positif","1"
"Layanan oke","positif","1"
"Semakin mudah untuk bertransaksi dengan MBanking mobile","positif","1"
"Mantap","positif","1"
"Baik sekali","positif","1"
"Aplikasi gak guna, bank gajelas di chat customer servis malah ngomong kemana mana, idiot","negatif","-1"
"Good","positif","1"
"Parah transfer ke bank lain saldo terpotong tp tidak masuk..email chat dan TLP call center respon nya sangat buruk..yang rusak sistem anda yang rugi nasabah Diman pemikiran nya??? Jadi kita yang ribet buruk sangat buruk","negatif","-1"
"Alhamdulillah dengan adanya aplikasi digital semua di permudah.. terima kasih OCT mobile","positif","1"
"Kode otp ga muncul","negatif","-1"
"Kureeng banget","negatif","-1"
"Kenapa baru buka aja Udah gak bisa akses .. jangan kan masukan id baru d buka aja udh erorrrr dan trus menerus smpe bbrpa kali hapus apk","negatif","-1"
"Mau buka rekening atm aja ribet kali. Tanya ini tanya itu. Harus ada data pendukung surat dari camat , surat buka usaha. Kek mana yang cuma buat tabungan pribadi doank.","negatif","-1"
"Good","positif","1"
"Mantap","positif","1"
"Mantap mksh","positif","1"
"Sampah, kebiasaan pake surat pernyataan. Buat yg mau transaksi pake kartu hatiÂ² aj. Ntar kalau gagal refundnya REPOT","negatif","-1"
"Aplikasinya lemot parah..kurang enak di gunainnya","negatif","-1"
"Log in susah,sudah masuk password kembali lg ke menu utama untuk log in.berkali kali","negatif","-1"
"Sangat membantu","positif","1"
"Mantap, aplikasinya berjalan dengan baik, dan tanpa kendala","positif","1"
"aplikasi sudah baik","positif","1"
"Mantapsss....","positif","1"
"Baik","positif","1"
"Mntab","positif","1"
"Jelek","negatif","-1"
"Cepat","positif","1"
"Semua jadi mudah","positif","1"
"Force close menyebalkan, tolong di perbaiki","negatif","-1"
"Sangat simple sangat membantu, dan fleksible, karyawan bank super ramah the best","positif","1"
"jelek banget respon ny, aplikasi ny susah, cepet eror nya..telf call center sampe 5x tapi ga ada solusinya.. parahbanget.","negatif","-1"
"Makin kesini makin aplikasi nya aduhh minnn,coba binta di bantu aplikasi muncul maaf saat ini perangkat anda blm bisa di gunakan","negatif","-1"
"Keren banget sangat membantu","positif","1"
"Cara login diperangkat lain sangat sulit, saya ingin daftar diperangkat baru karena hp saya rusak tapi malah dipersulit dan akun saya sampai terblokir, call center kurang membantu konsumen banyak kekurangan dan terlalu sulit digunakan bagi pengguna baru, saya sangat kesulitan karena hp saya rusak dan hal sangat mendesak tetapi malah dibuat sulit padahal sangat mendesak.","negatif","-1"
"Sangat membantu","positif","1"
"Minta bantuan belum selesai malah di belokir nomer saya sama 14041 jadi GK bisa telfon gimana ini uangku gimana ini","negatif","-1"
"Ok bgt","positif","1"
"suck.. very bad.... skg bi fast tujuan transaksi otomatis terpilih transfer of wealth walaupun sudah d pilih tujuan lainnya. sistem yang payah... beda jauh sama aplikasi mobile banking bank lainnya di indonesia yg lebih smooth. sistemnya semenjak ganti versi. jadi lebih lemot dan dodol. ini aplikasi bukannya upgrade tapi jd downgrade... ganti aja developer kalian gak becus buat aplikasi mobile. klo belum siap, jangan paksa user pakai sistem versi baru ini .","negatif","-1"
"Gila kecewa bgt saldo kepotong di qris tapi stts sedang dalam pembayaran yrus chat malah suruh nunggu mulu taikk","negatif","-1"
"Sulit login","negatif","-1"
"aplikasi banyak masalahnya saya tidak bisa login verifikasi smpai pulsa saya sudah habis sampai 30k","negatif","-1"
"Pertahankan kualitas","negatif","-1"
"Enak banget pakai octo serba sat set isi dompet digital mudah,bayar berbagai tagihan rumah jg ok.dan sering banyak promo cashbacknyaðŸ˜ðŸ‘","positif","1"
"Tingkatkan terus fitur dan aplikasi shg pelayanan nasabah semakin mudah","positif","1"
"Ok","netral","0"
"Ok lah","netral","0"
"Awalnya lancar, setelah di perbarui koq malah tidak bisa di buka aplikasinya. Mohon konfirmasinya","negatif","-1"
"buat rekening baru, sumber dana tidak bisa dari octopay... sangat disayangkan.","negatif","-1"
"Sangat bisa diandalkan","positif","1"
"TOP","positif","1"
"Tf dari sea bank ke niaga 23rb+10rb malah blm masuk masuk, lama","negatif","-1"
"Tidak bisa diakses di sebagian hp","negatif","-1"
"Mantap","positif","1"
"Sangat mudah digunakan dan fitur banyak","positif","1"
"responsif","positif","1"
"Keren","positif","1"
"mau transfer saja susah sekali padahal uang sendiri...mending pakai bank sebelah","negatif","-1"
"Goood","positif","1"
"Good","positif","1"
"Ini knapa saya gak dapat passcodenya ? User id bnar pdhl, nomer juga aktif .. Parah bgt","negatif","-1"
"Kocak lawak ini app, masa realme 5 pro gabisa pake ni app.. kata nya hp ga standaran , apalah.. app bank sebelah lainnya aman aja hp gw... (mohon maaf perangkat ada belum bisa memakai app ini) gitu katanya , cuma app ini aja agak Laen .. team it benerin lah ni app..","negatif","-1"
"Ok","netral","0"
"untuk xiaomi not 9 pro tidak bisa mengakses octo mobile aneh","negatif","-1"
"Bank yg super ribet","negatif","-1"
"Sumpah ya mbanking CIMB niaga keluar-keluar Mulu tiap login . Nyusahin banget kalo mau TF buru-buru.","negatif","-1"
"lol ga bisa dipake stlh update","negatif","-1"
"Ok","netral","0"
"GoodðŸ‘","positif","1"
"Pantas dikasih 5 bintang karena sistemnya sudah bagus","positif","1"
"GOOD","positif","1"
"Transaksi pending tapi saldo terpotong","negatif","-1"
"Good","positif","1"
"Udah nunggu 2minggu pengiriman kartu debit. Ech ujung-ujungnya kemaren ada ada sms notif kalo pemgiman kartu gagal dan disuruh ke kantor cabang. Kalo bakalan kejadian gini mah udah aja disuruh ke kantor cabang ngambil kartunya jangan ada fitur request kartu debit lewat octo mobile. ðŸ‘ŽðŸ‘ŽðŸ‘Ž","negatif","-1"
"Udah dua hari tiap mau login tulisannya ""anda masih memiliki sesi aktif silahkan coba beberapa saat lagi"" BEBERAPA SAAT LAGI TUH BERAPA LAMA? SEMINGGU?","negatif","-1"
"Good luck","positif","1"
"Mantab Sekali mau bayar apa aja tinggal scan","positif","1"
"Cepat dan tepat","positif","1"
"Akun saya terblokir bisa bantu buka kan?","negatif","-1"
"Apliksi edan, kadang bisa buat login, kadang tidak bisa bisa digunakan di perangkat ini. Padahal saya pakainya 1perangkat","negatif","-1"
"Tiga bintang dulu, karna setelah sukses buat rekening dan dapat nofikasi via email rekening telah aktif, tapi setelah di login masukin user id login dan passcide tidak pernah bisa di terima meskipun kirim beberapa kali juga Padahal pertama daftar passcide masuk sebelumnya","netral","0"
"sangat membantuuu","positif","1"
"Mudah dan cepat","positif","1"
"Kalo setiap ada yg TF aja gabisa di buka bikin emosi hadehhhh","negatif","-1"
"Beberapa kali saya download aplikasi octo mobile by cimb niaga, tapi gak bisa di diwnload cimb niaga di tolak terus dari tadi","negatif","-1"
"Pelayanan sangat baik dan ramah. Recomended","positif","1"
"Aplikasi Mobile banking bagus dan sangat memudahkan bertransaksi...","positif","1"
"Bagus, cuma terkadang aplikasinya suka berhenti sendiri","positif","1"
"Maaf sebelumnya kenapa, aplikasi versi terbaru gk kaya versi yg dulu ya? Setiap kali mau log in sudah masukin username dan password tiba-tiba aplikasi keluar sendiri kan aneh, bukan nya mempermudah tapi malah memperlambat, jujur aja saya lebih suka aplikasi versi lama dari pada yg baru, tolong donk bank CIMB di baca keluhan kami dan di perbaiki","negatif","-1"
"Setelah update versi malah susah login, otomatis tutup aplikasi. Mohpn IT developer aplikasi bank niaga agar menindaklanjuti kondisi yg saya alami","negatif","-1"
"Lbh mudaj","positif","1"
"Mantap","positif","1"
"Jadi lebih mudah ...","positif","1"
"Sangat membantu","positif","1"
"Kalau tak mampu buat aplikasi berjalan stabil lebih baik nggak usah , dari pada ngikuti perkembangan tapi belum mampu bersaing","negatif","-1"
"Cepat proses trnsper","positif","1"
"Aplikasi Octo Mobile ternyata lbh simple, mudah dan aman.","positif","1"
"mau login dari pagi sampe sekarang ngak dikirim passcode nya","negatif","-1"
"Maksudnya apa yah..msa harus buka pakai data seluler... Norak bngat.. ya kali kalah sama game ular..","negatif","-1"
"keren","positif","1"
"Good","positif","1"
"Aplikasi ga becus mau daftar aja ribet akhir nya kena blokir udah di buka mau login ga di kirim"" passcode akhir nya di blokir lagi tolong kalo buat aplikasi yg bener dikit!","negatif","-1"
"Sangat membantu untuk isi saldo di aplikasi agen pulsa, jdi gak perlu isi saldo di a**a","positif","1"
"Ok bngt","positif","1"
"Keren banget fiturnya lengkap dan mudah","positif","1"
"aplikasii lemot sekali tolong di tingkatkan","negatif","-1"
"Mantap","positif","1"
"Ok","netral","0"
"Sudah lebih baik cimb mobile ... trus lakukan perbaikan agar lebih canggih lg","positif","1"
"Transaksi lebih cepat","positif","1"
"The best, kasih pinjaman dong","positif","1"
"Mudah, cepat, insyaAllah aman","positif","1"
"Cukup baik","netral","0"
"Mantap sangatbantu, tolong PDAM kan Magetan diadakan biar LBH mudah.nuhun","positif","1"
"ga bs msuk app","negatif","-1"
"Kerja bagus","positif","1"
"Saya kasihbintang 1 karena transaksi pembelian pulsa masih dalam proses, tapi saldo kepotong. Gimana cara balikin nya itu!?","negatif","-1"
"sangat membantu tapi sayang kenapa harus ada sisa 100 ribu ya","netral","0"
"Gara-gara error nggak bisa diakses akhirnya saya curhat di CIMB Niaga twitter, tertipu akun CIMB Niaga palsu yang mau urusin aplikasi malah akhirnya akun OVO saya yang dia embat saldo habis, akun OCTO pun mungkin sudah dia ambil alih coz sampai sekarang belum bisa saya akses. Betul-betul merugikan","negatif","-1"
"bagus,,cuman knapa sering mental","positif","1"
"Ok","netral","0"
"mantap octo mobile, sangat membantu","positif","1"
"Setelah update sering force close.","negatif","-1"
"Alhamdulillah sangat bermanfaat sekali buat saya sekeluarga, terimakasih ya OCTO barakallah...","positif","1"
"Sangat sangat berguna, jadi mudah dan cepat","positif","1"
"Alhamdulillah sangat membantu sekali","positif","1"
"Masalah sudah teratasi... kasih bintang 4 dulu...,nanti kalo performanya di rasa bagus..,baru kasih bintang 5....,terima kasih CIMB NIAGA semga makin berkembang menjaxi lebih baik lagi","positif","1"
"Terima Kasih","positif","1"
"Kenapa di Octo mobile ini gk ada yg buat bayar naik kereta api.","negatif","-1"
"Download 3x GK bisa masuk.. bangkai nih dplikasi.. duit ilang GK bisa d ambil","negatif","-1"
"Varsi baru udah agak cepat","positif","1"
"Keren banget","positif","1"
"Ok","netral","0"
"Bang terribet setelah bang OCBC, nga jelas, nga konsisten, by by, banyak bank yg begus dari ini","negatif","-1"
"baik dan cepat .gak ribet2 tks","positif","1"
"saya suka sekali aplikasi octomobile","positif","1"
"Kenapa di hp saya saya buka tulisannya permintaan anda tidak dapat diproses .padahal wiffi ada internet nya bagus,dan sebelum nya dibuka bisa aja tuh tapi sekarang kok ga bisaaa .tolong dong pihak pemilik","negatif","-1"
"bgus dan mudah","positif","1"
"Good enough","positif","1"
"Udah bagus, tolong tingkatkan keamanan biara nggak gampang ke bobol sama link","positif","1"
"Semua ulasan buruk cuma ditanggapi mohon maaf...tidak ada realisasinya.. Developer nya tidur ini mah...","negatif","-1"
"Sumpah aplikasi mobile banking paling sampah yg pernah saya install","negatif","-1"
"Mengapa saya selalu gagal saat mengirim sms verifikasi no hp saat login","negatif","-1"
"Kenapa sekarang aplikasi octo sering keluar sendiri.","negatif","-1"
"Poor UX","negatif","-1"
"Ok","netral","0"
"Mantab...thank u octo mobile CIMB Niaga","positif","1"
"Aplikasi lu lemah bro. Gw ga masuk masuk ke octo mobile nya, mental terus aneh","negatif","-1"
"kereeen","positif","1"
"Lupa nomor rekening","netral","0"
